feature,importance
movie_rating_count,22.75931237196426
movie_popularity_log,22.73808294089383
genre_support_log,8.934538879952836
genre_support_sum,6.878007050112196
user_activity_log,5.500323589493615
popularity_score_norm,5.065850646517735
user_rating_count,4.928949571676132
primary_genre,3.9216041469142997
movie_year,3.428922783707614
movie_mean_rating,2.9007674284369522
genres,2.209711552203189
genre_mean_rating_score,1.993410627595228
age_group,1.742701994012373
genre_preference_score,1.5433681594725475
weighted_popularity_score,1.299452309121702
movie_std_rating,1.0054068620652223
genre_uplift,0.6750931970688527
user_movie_mean_gap,0.6673571258957509
occupation_name,0.47087961900332287
user_mean_rating,0.36244064413710353
gender,0.34726158970286114
user_std_rating,0.317170539980732
user_like_rate,0.3093863700717436
