score_bin,score_min,score_max,score_mean,positive_rate,n_samples
1,0.0,0.312021,0.118415,0.021136,70355
2,0.312021,0.446234,0.389297,0.068225,70355
3,0.446234,0.521991,0.48599,0.096894,70355
4,0.521991,0.578652,0.552064,0.109075,70355
5,0.578652,0.617196,0.598461,0.110767,70355
6,0.617196,0.652166,0.633941,0.104415,70354
7,0.652166,0.684283,0.668314,0.107626,70355
8,0.684283,0.730581,0.706472,0.206282,70355
9,0.730581,0.800906,0.763725,0.275332,70355
10,0.800906,1.0,0.863782,0.40759,70355
