score_bin,score_min,score_max,score_mean,positive_rate,n_samples
1,0.0,0.343137,0.213991,0.07944,70355
2,0.343137,0.461538,0.408437,0.133196,70355
3,0.461538,0.533333,0.499554,0.14505,70355
4,0.533333,0.6,0.567539,0.165816,70355
5,0.6,0.658991,0.628705,0.170493,70355
6,0.659003,0.710784,0.682821,0.172584,70354
7,0.710784,0.764706,0.737833,0.173094,70355
8,0.764706,0.826087,0.794707,0.17804,70355
9,0.826087,0.9,0.860508,0.170905,70355
10,0.9,1.0,0.963717,0.118726,70355
